Airport ID,City,PageRank
11292,"Denver, CO",107.93423932903634
13930,"Chicago, IL",105.223486910243
10397,"Atlanta, GA",80.72177752327028
10299,"Anchorage, AK",79.10484339880058
11298,"Dallas/Fort Worth, TX",75.40019780543666
11630,"Fairbanks, AK",65.89919796049946
12892,"Los Angeles, CA",65.48543075733728
10551,"Bethel, AK",62.86335743664857
14107,"Phoenix, AZ",61.47941224586892
12889,"Las Vegas, NV",60.76986855040375
13204,"Orlando, FL",59.38116559462176
12266,"Houston, TX",56.9033249348867
11057,"Charlotte, NC",54.461531373117275
13487,"Minneapolis, MN",53.661514612835106
14747,"Seattle, WA",52.23706261726562
11433,"Detroit, MI",51.44555367191567
11618,"Newark, NJ",50.94288516897561
14100,"Philadelphia, PA",48.6903959009678
14869,"Salt Lake City, UT",41.12821418453135
13303,"Miami, FL",40.97748641076014
10693,"Nashville, TN",40.81808600236032
14730,"Louisville, KY",40.258694874187526
13244,"Memphis, TN",39.048845360712555
12478,"New York, NY",38.47103055036376
11697,"Fort Lauderdale, FL",37.67833271300798
12264,"Washington, DC",37.39992389889482
14771,"San Francisco, CA",36.617457978137786
10056,"Kodiak Island, AK",36.53725366334927
15304,"Tampa, FL",35.446286412987604
10721,"Boston, MA",33.88713898618376
15741,"Ketchikan, AK",31.640711271363347
10821,"Baltimore, MD",31.408961871216636
11193,"Cincinnati, OH",31.407168849040346
12523,"Juneau, AK",31.29042719633679
10423,"Austin, TX",30.857306642570652
14057,"Portland, OR",28.167300529456234
12339,"Indianapolis, IN",28.002593261155024
13232,"Chicago, IL",27.036951039208642
14679,"San Diego, CA",26.85287158344814
11278,"Washington, DC",26.76153285222724
15016,"St. Louis, MO",26.214856639817036
12953,"New York, NY",23.40055631297366
10245,"King Salmon, AK",23.3447385905517
13873,"Nome, AK",23.19357373032529
11336,"Dillingham, AK",22.00322011440159
11259,"Dallas, TX",21.249757722588907
13796,"Oakland, CA",21.093025369769084
14122,"Pittsburgh, PA",20.665494508905294
14492,"Raleigh/Durham, NC",20.508199465503274
13970,"Kotzebue, AK",20.053856644549974
13891,"Ontario, CA",19.826351935344977
11042,"Cleveland, OH",19.29837096324334
12191,"Houston, TX",19.141066652648323
13198,"Kansas City, MO",18.67712709692659
13495,"New Orleans, LA",18.465898856975365
14683,"San Antonio, TX",18.310725025729038
14635,"Fort Myers, FL",17.599145111586598
10170,"Kodiak, AK",17.029627565043416
15167,"Teterboro, NJ",16.647180839215068
12173,"Honolulu, HI",16.41282562056763
11066,"Columbus, OH",16.27450781365283
13342,"Milwaukee, WI",16.101043737180007
15618,"Van Nuys, CA",16.062900754682243
12197,"White Plains, NY",16.062144833197177
10994,"Charleston, SC",15.919132254263229
13577,"Myrtle Beach, SC",15.882376704515844
14831,"San Jose, CA",15.52160082844412
14893,"Sacramento, CA",15.411217508581894
14908,"Santa Ana, CA",14.820549123586842
12451,"Jacksonville, FL",14.678321134957613
10529,"Hartford, CT",14.253864656344014
14843,"San Juan, PR",14.137142199653368
10304,"Aniak, AK",13.666297045223223
14570,"Reno, NV",13.416369327974063
14761,"Sanford, FL",13.411979438286657
13851,"Oklahoma City, OK",13.083548491087182
14524,"Richmond, VA",12.599700256529434
10140,"Albuquerque, NM",12.494606188423385
14027,"West Palm Beach/Palm Beach, FL",12.279814469340003
10754,"Barrow, AK",12.274023825515387
12321,"Iliamna, AK",12.110850453944298
13871,"Omaha, NE",12.053149810478969
10154,"Nantucket, MA",12.035446310234963
11540,"El Paso, TX",11.974026294901337
15478,"Unalakleet, AK",11.938464383368375
12184,"Homer, AK",11.88565470321136
10849,"Bozeman, MT",11.84887225446364
10713,"Boise, ID",11.402073059208037
13931,"Norfolk, VA",11.206975290281443
12652,"Kenmore, WA",11.017993443442466
10792,"Buffalo, NY",10.971644157426061
11445,"Unalaska, AK",10.79893657166457
14986,"Sarasota/Bradenton, FL",10.619066187696228
14828,"Sitka, AK",10.580884944816397
15370,"Tulsa, OK",10.545469584459596
11109,"Colorado Springs, CO",10.406970378829193
14709,"Deadhorse, AK",10.293729803636596
13467,"Anchorage, AK",10.290674440876355
10158,"Atlantic City, NJ",10.2254236053877
14685,"Savannah, GA",10.146285955825368
11884,"Spokane, WA",10.012974416955043
10800,"Burbank, CA",9.904669442928077
14112,"St. Petersburg, FL",9.565862505098353
14081,"Page, AZ",9.285145746967608
13830,"Kahului, HI",9.214878994385332
11995,"Greensboro/High Point, NC",9.06894931956911
11986,"Grand Rapids, MI",9.061005420505584
14512,"Rockford, IL",8.954168637190547
14321,"Portland, ME",8.67444969040593
11844,"Galena, AK",8.67185644866037
15624,"Valparaiso, FL",8.47822359187728
14193,"Pensacola, FL",8.305833794847048
14307,"Providence, RI",8.281168643381458
11550,"Emmonak, AK",8.248254564049459
15376,"Tucson, AZ",8.220512322571102
15412,"Knoxville, TN",8.216989118990282
10466,"Phoenix, AZ",8.091181108990643
10599,"Birmingham, AL",8.038998410313184
13541,"Martha's Vineyard, MA",8.023573018925521
14689,"Santa Barbara, CA",8.012419020441524
10257,"Albany, NY",7.911145490748071
10917,"Cold Bay, AK",7.904116622589371
11996,"Greer, SC",7.8546094334388625
12992,"Little Rock, AR",7.806714213524582
13230,"Harrisburg, PA",7.68641996562383
13002,"Seattle, WA",7.5832865921022705
12807,"St. Mary's, AK",7.442326771879159
11833,"Fort Yukon, AK",7.436092846866527
15096,"Syracuse, NY",7.382183564327833
14477,"Roche Harbor, WA",7.363188620014275
11728,"Westhampton, NY",7.296229485470533
12278,"Wichita, KS",7.252281650522457
10559,"Seattle, WA",7.214322506296719
13196,"McGrath, AK",7.124235422047235
11423,"Des Moines, IA",6.85058912077539
14576,"Rochester, NY",6.834166316628035
12222,"East Hampton, NY",6.823154749500447
10194,"Dallas/Fort Worth, TX",6.587084712474051
12758,"Kona, HI",6.571045635711781
11973,"Gulfport/Biloxi, MS",6.524955271958505
11775,"Sioux Falls, SD",6.293020900704626
13461,"Smyrna, TN",6.256117963991651
12772,"Ouzinkie, AK",6.227656204359249
10868,"Columbia, SC",6.088787700064186
11638,"Fresno, CA",5.978484344280974
